,DFO_ID,ISO3,FE,BQFE,CI,QR
300,2725,VNM,2572582.9806269915,1315441.9514289745,-0.5061771602098959,0.0235014259909069
301,2725,THA,171780.54762948686,76355.53144210995,-0.4151920543815569,0.0686956195030745
302,2725,LAO,17228.755634271212,2713.897621735111,0.0273012422512883,0.4555410326866664
303,2725,KHM,803155.2635712038,222996.0376870471,-0.1728640458880429,0.2243332446573899
306,3151,NGA,36395.83419286693,16314.730220064295,-0.5125319133120347,0.0295211689137391
309,3151,BEN,24386.58749583576,3920.505211918765,-0.3724371246826595,0.2034656636571108
312,3747,GHA,25794.157214196475,19617.69817992475,-0.755675561810606,0.0
316,2638,MWI,12887.593224643097,2869.7776324645056,-0.0735475612223542,0.698300537107657
323,2522,VNM,1756259.9731176,286751.8040422575,-0.1418847903465664,0.3983307543429358
324,3496,BGD,132019.1140553887,83921.89697150438,-0.5888218998392835,0.0
326,2948,VNM,195133.57672804088,104027.36632784572,-0.5320314841429914,0.0173389821872733
329,2948,KHM,129272.14148619576,24412.209660360066,-0.0847915825000661,0.2783187100869587
330,4305,EGY,216615.4113781392,80410.99157159624,-0.2326139479170748,0.3861903065248184
333,2649,DJI,13530.607439792007,1439.921668510884,-0.146263119849728,1.9943493128098
334,3081,MYS,29436.511356609524,7184.412379167323,0.0219748712017948,1.2049619191798873
335,4666,BGD,442479.3742469809,83729.00400747597,-0.0531783635361065,0.4109049137576918
337,4382,BGD,5484327.823408041,2426404.670508684,-0.4417827129263088,0.0144439277576236
340,3553,BGD,12129.65701956302,4905.543520190269,-0.3799312441871354,0.0290100602146524
342,3150,BGD,1141082.6957738842,471442.5209848208,-0.4191685848511899,0.0064138963758697
343,2099,TUR,13598.416293277149,1104.0637031948816,0.135801001597557,3.931655868757106
351,4293,VNM,28382.69946162329,12624.507089240717,-0.3718485171847768,0.0900692130738799
357,2731,BGD,13449.05631857097,6773.972608495801,-0.5516156238182883,0.0472316533212031
358,3243,LKA,32048.33701499022,3891.176462733597,0.1718618031429744,2.3567739073754623
359,2817,TUR,11664.492174304249,1549.9491244876865,0.0334332532742276,1.934377084205676
369,2311,NGA,22117.81461148925,16973.595119710488,-0.7371901917153759,0.0007398345694574
371,2507,NPL,16066.70250076145,2589.446820206791,0.1055067683858712,1.6433337305162152
372,2507,BGD,18905286.842856903,5501353.44455392,-0.2262129009742666,0.2658296098740493
378,3915,DOM,13864.714833593407,2045.4930626382304,0.2079483430422382,2.5174117470399486
379,3915,HTI,16225.54924962595,1427.009299317561,0.1748756581228105,2.16045968533762
380,4184,VNM,31517.196033568325,25051.871061879632,-0.7699936947124699,0.0
389,4365,BGD,322664.17552377464,34319.63980723925,0.0090879057283641,0.6802641881560073
392,3205,HND,10417.343994146477,902.2171315291896,-0.034147512065951,1.399227775131899
396,2768,MYS,20158.84990290826,2418.872254419811,0.3443122893232704,3.0999758471886287
397,2768,THA,61540.91465016241,17099.84718218282,-0.3471760230790305,0.0580854130894244
398,3591,TUR,26036.07553337569,407.0934383102641,0.3824465573559785,33.29214926222409
416,3169,BGD,426594.9208063104,67065.20231686541,-0.0213871379373739,0.7476616171424348
417,3437,PHL,627256.2932633182,105034.96142085896,-0.0922533889054968,0.6002024321424724
418,4499,BGD,474828.0789746197,235818.81895848276,-0.5164208601048156,2.768531032711151e-05
425,2320,NGA,11666.962042176136,2472.375077268556,-0.2383006235067124,0.6551835072876191
427,2320,BEN,11009.04970946286,2411.2529162551464,-0.3535594245820033,0.4061088188258799
431,2640,UKR,91397.30915193964,24197.28796555723,-0.1775128072002592,0.4030740566680151
432,2640,ROU,55640.37125094784,3648.245571092909,0.1488258826048927,1.4961955683184516
434,2640,SRB,15436.216054015056,2511.7681378755306,0.023331343566435,1.4466110437297148
438,3872,GHA,16381.82628916934,1783.039090985768,0.1120596923851684,0.7341157853149788
439,4403,VNM,46851.37809431032,37855.69186165699,-0.7613587159236934,0.0
440,4403,THA,40428.27363429744,24098.907997028477,-0.4401590723388878,0.2298821086952945
442,2264,PHL,251769.2612741172,36858.51729741091,-0.1065166896747683,0.5063114639131459
